@name,direct participant,observer,States,Non State,description
COP21MIW,1,0,0,0,Organizer of the conference
CitiesMIW,1,0,0,1,Delegation representing the cities
CliMates_,0,1,0,0,Association on climates
dblumereau,0,1,0,0,member of Climates ?
SaharaMIW,1,0,0,1,
EthiopiaMIW,1,0,1,0,
OceansMIW,1,0,0,1,
NickPinchwolf,1,0,0,0,member of endangered species ?
sup_recherche,0,1,0,0,instance publique
sciencespo,0,0,0,0,compte twitter Sciences Po
SPC_MIW,1,0,0,1,Endangered Species
PolarMIW,1,0,0,1,Polar Regions
IntRegBodsMIW,1,0,0,1,International Regulation Bodies
jeromguilbert,0,1,0,0,Observer
AustraliaMIW,1,0,1,0,Australian delegation
PhilippinesMIW,1,0,1,0,Delegation of the Philippines
ForestsMIW,1,0,0,1,Forests
Eve_ElChehaly,1,0,0,0,member of connectivity delegation ?
Nathanjstewart,1,0,0,0,member of a delegation : Oceans ?
miw_eu,1,0,1,0,EU
BrazilMIW,1,0,1,0,Brazil
los_gekkos,0,1,0,0,member of a delegation ?
Gemenne,0,1,0,0,observer ?
Nigeria_MIW,1,0,1,0,
abiodunodunuga,1,0,0,0,member of the Bangladesh delegation
JapanMIW,1,0,1,0,28th May
juliusdudu,1,0,0,0,member of the Bangladesh delegation
c_schofield,1,0,0,0,member of ?
SouthAfricaMIW,1,0,1,0,
France_MIW,1,0,1,0,
AmelieA_DD,0,1,0,0,
AYWong1,0,1,0,0,
AXAResearchFund,0,1,0,0,
EvaSahores,1,0,0,0,member of the Philippines delegation ?
all_caroline,0,1,0,0,
TrickyActant,0,1,0,0,?
Optichiasm,0,1,0,0,making visual representation of networkds
b_lode,0,1,0,0,?
RussiaMIW,1,0,1,0,
AtinaBM,0,1,0,0,
BettyRenoir,0,1,0,0,
ThomasRieme,0,1,0,0,
radioshanghai88,0,1,0,0,Radio
lorenamfig,0,1,0,0,
IsabelBergeron,0,1,0,0,
VilleNanterre,0,1,0,0,
RENOOV,0,1,0,0,
citedeleconomie,0,1,0,0,
AlgeriaMIW,1,0,1,0,
Place_To_B,0,1,0,0,
StrandedMIW,1,0,0,1,
gliziard,0,1,0,0,
ArnaudContreras,0,1,0,0,
FannyMoral,0,1,0,0,
philippe_wen,0,1,0,0,
Bex_Grant,0,1,0,0,
DiploMix,0,1,0,0,
LaurenceTubiana,0,1,0,0,
lauralequertier,0,1,0,0,
ScPoBibli,0,1,0,0,
PhilipRConway,0,1,0,0,
urbain_,0,1,0,0,
amau_co,0,1,0,0,
MathildeImer,0,1,0,0,
samuelxgarcia,0,1,0,0,
TifennK,0,1,0,0,
PMCARF,0,1,0,0,
Lrichecoeur,0,1,0,0,
SoAnn,0,1,0,0,
