,degree_centrality,betweenness_centrality,closeness_centrality,eigenvalue_centrality,name,State,Non_State,Other,Color
0,1.92,0.20469839324618735,0.9615384615384616,0.22754912673915834,COP21 Make It Work,0,0,1,#3399ff
1,1.6,0.0015039488017429194,0.8333333333333334,0.22282614673507833,Cities MIW,0,1,0,#99ff33
2,1.6,0.0015039488017429194,0.8333333333333334,0.22282614673507833,Sahara MIW,0,1,0,#99ff33
3,1.6400000000000001,0.03205950435729848,0.8333333333333334,0.2246056755506256,Ethiopia | MIW ,1,0,0,#ff6633
4,1.6,0.010253948801742916,0.8333333333333334,0.2146711409115997,Oceans MIW,0,1,0,#99ff33
5,0.28,0.002638888888888889,0.5434782608695652,0.02428611200562725,Nicolas Pinceloup,0,0,1,#3399ff
6,1.68,0.028587282135076247,0.8620689655172413,0.22400986637438886,Endangered Species,0,1,0,#99ff33
7,1.6,0.0015039488017429194,0.8333333333333334,0.22282614673507833,Polar Regions,0,1,0,#99ff33
8,1.6,0.0015039488017429194,0.8333333333333334,0.22282614673507833,MIWIRB,0,1,0,#99ff33
9,1.6,0.014837282135076254,0.8620689655172413,0.21348742127228917,Australia MIW,1,0,0,#ff6633
10,1.6,0.0015039488017429194,0.8333333333333334,0.22282614673507833,Philippines MIW,1,0,0,#ff6633
11,1.6,0.0015039488017429194,0.8333333333333334,0.22282614673507833,Forests MIW,0,1,0,#99ff33
12,1.56,0.0003928376906318083,0.8333333333333334,0.21348742127228917,Eve El Chehaly,0,0,1,#3399ff
13,0.36,0.044583333333333336,0.5434782608695652,0.03651153364570147,Nathan Stewart,0,0,1,#3399ff
14,1.52,0.00019607843137254904,0.8333333333333334,0.2030824549659654,MIW EU,1,0,0,#ff6633
15,1.6400000000000001,0.0398148148148148,0.8928571428571429,0.21348742127228917,BrazilMIW,1,0,0,#ff6633
16,1.6,0.0015039488017429194,0.8333333333333334,0.22282614673507833,NigeriaMIW,1,0,0,#ff6633
17,0.16,0.0,0.5102040816326531,0.012850348098167666,Abiodun Dominic O.,0,0,1,#3399ff
18,1.48,0.0,0.78125,0.21348742127228917,Japan Delegation,1,0,0,#ff6633
19,0.2,0.0008333333333333334,0.5102040816326531,0.023255314404491436,JULIUS ERUKILEDE,0,0,1,#3399ff
20,0.16,0.0004166666666666667,0.35714285714285715,0.02446763095812476,Clo Schofield,0,0,1,#3399ff
21,1.56,0.0003928376906318083,0.8333333333333334,0.21348742127228917,South Africa MIW,1,0,0,#ff6633
22,1.6,0.0015039488017429194,0.8333333333333334,0.22282614673507833,France MIW,1,0,0,#ff6633
23,1.52,9.259259259259259e-05,0.8064516129032258,0.21348742127228917,Russia MIW,1,0,0,#ff6633
24,1.16,0.0,0.6578947368421053,0.19161124781610706,Algeria Make it Work,1,0,0,#ff6633
25,1.6400000000000001,0.011503948801742919,0.8620689655172413,0.22282614673507833,Stranded Oil Assets,0,1,0,#99ff33
